geo_id,geo_id2,block_group,tract,county,block_tract,total_pop,total_inc,inc_less_10k,inc_10k_14999,inc_15k_19999,inc_20k_24999,inc_25k_29999,inc_30k_34999,inc_35k_39999,inc_40k_44999,inc_45k_49999,inc_50k_59999,inc_60k_74999,inc_75k_99999,inc_100k_124999,inc_125k_149999,inc_150k_199999,inc_200k_more,total_labor,total_in_laborforce,total_notin_laborforce,total_civil_labor,emp_civil_labor,unemp_civil_labor,total_armedforces,total_vacdata,total_occ_homes,total_vac_homes,total_ordata,total_owner,total_renter
1500000US131770202001,131770202001,1,20200,Lee County,1_20200,1485,562,40,50,48,39,57,30,7,31,10,17,89,21,62,12,28,21,1161,590,571,590,512,78,0,700,562,138,1485,1084,401
1500000US131770203001,131770203001,1,20300,Lee County,1_20300,3318,1053,61,25,72,49,25,114,47,35,62,79,191,113,78,29,70,3,2339,1415,924,1412,1375,37,3,1114,1053,61,3262,2093,1169
1500000US131770203002,131770203002,2,20300,Lee County,2_20300,1715,558,76,13,3,21,37,0,52,54,32,8,30,66,60,13,25,68,1233,734,499,734,718,16,0,616,558,58,1715,1221,494
1500000US131770203003,131770203003,3,20300,Lee County,3_20300,1451,195,40,0,0,17,0,13,0,0,0,4,18,49,14,13,27,0,1290,282,1008,282,264,18,0,250,195,55,575,487,88
1500000US131770204021,131770204021,1,20402,Lee County,1_20402,2847,962,32,27,66,14,75,32,36,23,139,41,72,218,161,26,0,0,1911,1311,600,1311,1215,96,0,1013,962,51,2830,1408,1422
1500000US131770204022,131770204022,2,20402,Lee County,2_20402,3706,1478,34,13,22,66,104,37,14,127,162,98,194,294,161,123,29,0,2946,2295,651,2295,2208,87,0,1478,1478,0,3706,1788,1918
1500000US131770204023,131770204023,3,20402,Lee County,3_20402,928,367,0,0,10,21,34,18,4,12,12,106,23,87,40,0,0,0,704,552,152,552,472,80,0,447,367,80,928,414,514
1500000US131770204024,131770204024,4,20402,Lee County,4_20402,1015,464,0,0,0,20,0,31,0,30,28,84,18,48,109,26,40,30,860,546,314,546,512,34,0,464,464,0,1015,997,18
1500000US131770204031,131770204031,1,20403,Lee County,1_20403,5498,1851,28,8,17,54,38,10,36,71,60,128,160,297,309,219,268,148,4096,2894,1202,2882,2602,280,12,1888,1851,37,5444,5079,365
1500000US131770204032,131770204032,2,20403,Lee County,2_20403,894,274,0,0,0,0,11,9,10,0,9,0,15,46,72,42,29,31,764,513,251,513,513,0,0,300,274,26,894,885,9
